Route,Original Count,Adjusted Count,Change%
1,24,21,-13%
2,27,19,-30%
4,23,18,-22%
6,32,25,-22%
7,6,6,0%
8,71,39,-45%
11,25,18,-28%
12,23,20,-13%
13,42,22,-48%
14,38,19,-50%
15,30,22,-27%
16,70,70,0%
17,33,20,-39%
18,12,12,0%
19L,11,6,-45%
20,23,17,-26%
21,31,31,0%
22,25,22,-12%
24,29,16,-45%
26,35,24,-31%
27,33,24,-27%
28X,40,40,0%
29,22,17,-23%
31,34,23,-32%
36,21,15,-29%
38,62,55,-11%
39,44,34,-23%
40,26,24,-8%
41,36,25,-31%
43,22,16,-27%
44,32,18,-44%
48,44,23,-48%
51,103,103,0%
51L,9,7,-22%
52L,14,14,0%
53,0,0,#DIV/0!
53L,26,21,-19%
54,58,45,-22%
55,18,18,0%
56,31,24,-23%
57,31,23,-26%
58,26,19,-27%
59,19,19,0%
60,15,15,0%
61A,55,36,-35%
61B,57,38,-33%
61C,57,37,-35%
61D,65,37,-43%
64,40,40,0%
65,13,10,-23%
67,34,34,0%
68,21,21,0%
69,25,25,0%
71,7,7,0%
71A,70,36,-49%
71B,67,34,-49%
71C,61,31,-49%
71D,67,35,-48%
74,28,20,-29%
75,47,36,-23%
77,31,31,0%
79,39,20,-49%
81,32,32,0%
82,52,27,-48%
83,33,33,0%
86,43,22,-49%
87,52,43,-17%
88,56,29,-48%
89,23,23,0%
91,71,71,0%
93,33,33,0%
G2,91,51,-44%
G3,23,14,-39%
G31,13,7,-46%
O1,23,12,-48%
O12,31,15,-52%
O5,3,3,0%
P1,135,51,-62%
P10,12,7,-42%
P12,20,12,-40%
P13,7,5,-29%
P16,14,12,-14%
P17,7,7,0%
P2,23,0,-100%
P3,58,34,-41%
P67,10,7,-30%
P68,21,21,0%
P69,4,4,0%
P7,15,11,-27%
P71,12,7,-42%
P76,12,10,-17%
P78,23,22,-4%
Y1,9,6,-33%
Y45,6,6,0%
Y46,33,28,-15%
Y47,24,24,0%
Y49,24,24,0%
RED,78,64,-18%
BLUE,77,61,-21%
BLLB,77,61,-21%
BLSV,77,61,-21%
SILVER,52,46,-12%
